Frame, TimeStamp, X, Y, Z, intensity
1 , 0.02 , 0.413006 , 1.449866 , 5.367488 , 0.000000
1 , 0.02 , 0.141976 , -0.466948 , 1.764590 , 0.000000
1 , 0.02 , 0.167480 , -0.475648 , 2.081576 , 0.000000
1 , 0.02 , 0.203623 , -0.487976 , 2.530794 , 0.000000
1 , 0.02 , 0.258996 , -0.506864 , 3.219012 , 0.000000
1 , 0.02 , 0.354837 , -0.539555 , 4.410208 , 0.000000
1 , 0.02 , 0.426978 , -0.463013 , 5.306835 , 0.000000
1 , 0.02 , 0.427443 , -0.277473 , 5.312621 , 0.000000
1 , 0.02 , 0.427908 , -0.092208 , 5.318398 , 0.000000
1 , 0.02 , 0.428376 , 0.094160 , 5.324209 , 0.000000
1 , 0.02 , 0.428847 , 0.282090 , 5.330069 , 0.000000
1 , 0.02 , 0.429321 , 0.471120 , 5.335963 , 0.000000
1 , 0.02 , 0.429800 , 0.661723 , 5.341907 , 0.000000
1 , 0.02 , 0.430283 , 0.854389 , 5.347914 , 0.000000
1 , 0.02 , 0.430773 , 1.049626 , 5.354002 , 0.000000
1 , 0.02 , 0.431270 , 1.247971 , 5.360187 , 0.000000
1 , 0.02 , 0.431777 , 1.449993 , 5.366487 , 0.000000
